Thread  	Address                 	Instruction                     	Result                                  	
000022D8	libc.so.6:_IO_sputbackc+5B	pop     ebx                     	EBX=00000073 ESP=FF9AACB4               	
000022D8	libc.so.6:_IO_sputbackc+5C	pop     esi                     	ESI=00000000 ESP=FF9AACB8               	
000022D8	libc.so.6:_IO_sputbackc+5D	pop     edi                     	ESP=FF9AACBC                            	
000022D8	libc.so.6:_IO_sputbackc+5E	retn                            	ESP=FF9AACC0                            	
000022D8	libc.so.6:psiginfo+105B 	lea     edx, [ebx-25h]          	EDX=0000004E                            	
000022D8	libc.so.6:psiginfo+105E 	add     esp, 10h                	ESP=FF9AACD0 PF=0                       	
000022D8	libc.so.6:psiginfo+1061 	cmp     dl, 53h ; 'S'           	CF=1                                    	
000022D8	libc.so.6:psiginfo+1064 	ja      loc_F7D519B0            	                                        	
000022D8	libc.so.6:psiginfo+106A 	mov     eax, [ebp-59Ch]         	EAX=F7F22000                            	
000022D8	libc.so.6:psiginfo+1070 	movzx   edx, dl                 	                                        	
000022D8	libc.so.6:psiginfo+1073 	add     eax, [eax+edx*4-742B0h] 	EAX=F7D52FCA PF=1                       	
000022D8	libc.so.6:psiginfo+107A 	jmp     eax                     	                                        	
000022D8	libc.so.6:loc_F7D52FCA  	mov     eax, [ebp-5E0h]         	EAX=00000000                            	
000022D8	libc.so.6:psiginfo+2170 	mov     [ebp-5B0h], esi         	                                        	
000022D8	libc.so.6:psiginfo+2176 	mov     edi, eax                	                                        	
000022D8	libc.so.6:psiginfo+2178 	and     edi, 1                  	CF=0 ZF=1 SF=0                          	
000022D8	libc.so.6:psiginfo+217B 	mov     [ebp-5ACh], edi         	                                        	
000022D8	libc.so.6:psiginfo+2181 	jnz     loc_F7D51F5F            	                                        	
000022D8	libc.so.6:psiginfo+2187 	mov     edi, eax                	                                        	
000022D8	libc.so.6:psiginfo+2189 	and     edi, 8                  	                                        	
000022D8	libc.so.6:psiginfo+218C 	jnz     loc_F7D53091            	                                        	
000022D8	libc.so.6:psiginfo+2192 	test    ah, 21h                 	                                        	
000022D8	libc.so.6:psiginfo+2195 	jz      loc_F7D56A27            	                                        	
000022D8	libc.so.6:loc_F7D56A27  	mov     eax, [ebp-5ECh]         	                                        	
000022D8	libc.so.6:psiginfo+5BCD 	test    eax, eax                	                                        	
000022D8	libc.so.6:psiginfo+5BCF 	jnz     loc_F7D57AB7            	                                        	
000022D8	libc.so.6:psiginfo+5BD5 	mov     eax, [ebp-5E8h]         	EAX=FF9AB324                            	
000022D8	libc.so.6:psiginfo+5BDB 	mov     ecx, [eax]              	ECX=FF9AB33F                            	
000022D8	libc.so.6:psiginfo+5BDD 	add     eax, 4                  	EAX=FF9AB328 ZF=0 SF=1                  	
